example_id,text,source_type,source_group,label_a,label_b,final_label,notes
ask_wifi_1,ESP32 kartım Wi-Fi bağlantısını birkaç dakikada bir kaybediyor. Nereden kontrol etmeye başlamalıyım?,controlled_seed,ask_wifi,ASK,,ASK,draft seed; team review pending
ask_wifi_2,ESP32 bağlantısı durmadan kopuyor. Güç kaynağını mı yoksa kodu mu önce test etmeliyim?,controlled_seed,ask_wifi,ASK,,ASK,draft seed; team review pending
ask_python_1,Python'da bu fonksiyon bazen None döndürüyor ama nedenini bulamadım. Hangi kısmı kontrol etmeliyim?,controlled_seed,ask_python,ASK,,ASK,draft seed; team review pending
ask_python_2,Fonksiyonumun bazı girdilerde None vermesinin sebebini nasıl bulabilirim?,controlled_seed,ask_python,ASK,,ASK,draft seed; team review pending
ask_git_1,Yanlışlıkla main branch'e commit attım. Commit'i kaybetmeden yeni bir branch'e nasıl taşıyabilirim?,controlled_seed,ask_git,ASK,,ASK,draft seed; team review pending
ask_git_2,Main'e yaptığım son commit'i yeni branch'e almak istiyorum. En güvenli yol nedir?,controlled_seed,ask_git,ASK,,ASK,draft seed; team review pending
ask_math_1,"Bu olasılık sorusunda neden kombinasyon kullanıyoruz, mantığını biri açıklayabilir mi?",controlled_seed,ask_math,ASK,,ASK,draft seed; team review pending
ask_math_2,Soruyu çözüyorum ama burada kombinasyon seçilmesinin nedenini anlayamadım. Açıklayabilir misiniz?,controlled_seed,ask_math,ASK,,ASK,draft seed; team review pending
ask_robot_1,Çizgi izleyen robotum virajlarda sürekli taşıyor. PID ayarına hangi parametreden başlamalıyım?,controlled_seed,ask_robot,ASK,,ASK,draft seed; team review pending
ask_robot_2,PID kullanan line follower virajda savruluyor. Önce P mi D mi değiştirmek daha mantıklı?,controlled_seed,ask_robot,ASK,,ASK,draft seed; team review pending
ask_camera_1,Kamerada düşük ışıkta görüntü çok gürültülü oluyor. Yazılımla azaltmak için hangi yöntemi deneyebilirim?,controlled_seed,ask_camera,ASK,,ASK,draft seed; team review pending
ask_camera_2,Gece çekiminde görüntüde ciddi noise var. Basit bir görüntü işleme çözümü önerir misiniz?,controlled_seed,ask_camera,ASK,,ASK,draft seed; team review pending
ask_sql_1,Bu sorgu 200 bin satırda çok yavaşlıyor. İlk bakmam gereken index hangisi?,controlled_seed,ask_sql,ASK,,ASK,draft seed; team review pending
ask_sql_2,SQL sorgum veri büyüyünce yavaşladı. Execution plan dışında neyi kontrol etmeliyim?,controlled_seed,ask_sql,ASK,,ASK,draft seed; team review pending
ask_css_1,Mobilde bu kartlar üst üste biniyor. Grid yapısında hatayı nasıl bulabilirim?,controlled_seed,ask_css,ASK,,ASK,draft seed; team review pending
ask_css_2,Desktop'ta düzgün olan grid telefonda bozuluyor. Responsive kısmı nereden debug etmeliyim?,controlled_seed,ask_css,ASK,,ASK,draft seed; team review pending
ask_battery_1,18650 pillerle yaptığım pakette voltaj normal ama yük altında aniden düşüyor. Sebebi ne olabilir?,controlled_seed,ask_battery,ASK,,ASK,draft seed; team review pending
ask_battery_2,Pil paketi boşta iyi görünüyor fakat motor çalışınca voltaj çöküyor. Neyi ölçmem gerekir?,controlled_seed,ask_battery,ASK,,ASK,draft seed; team review pending
ask_linux_1,Ubuntu'da servis reboot sonrası başlamıyor ama elle başlatınca çalışıyor. systemd tarafında neyi kontrol etmeliyim?,controlled_seed,ask_linux,ASK,,ASK,draft seed; team review pending
ask_linux_2,Servisim manuel çalışıyor fakat açılışta ayağa kalkmıyor. systemd için hangi loglara bakmalıyım?,controlled_seed,ask_linux,ASK,,ASK,draft seed; team review pending
ask_api_1,API isteğim tarayıcıda CORS hatası veriyor ama Postman'de çalışıyor. Bunu doğru şekilde nasıl çözebilirim?,controlled_seed,ask_api,ASK,,ASK,draft seed; team review pending
ask_api_2,Postman'de çalışan endpoint frontend'de CORS yüzünden patlıyor. Backend'de hangi header'ları kontrol etmeliyim?,controlled_seed,ask_api,ASK,,ASK,draft seed; team review pending
ask_sensor_1,Ultrasonik sensör suya yakınken kararsız ölçüm veriyor. Filtreleme mi yoksa montaj açısı mı daha önemli?,controlled_seed,ask_sensor,ASK,,ASK,draft seed; team review pending
ask_sensor_2,Sensör okumaları sürekli zıplıyor. Önce mekanik yerleşimi mi yazılımsal filtreyi mi değiştirmeliyim?,controlled_seed,ask_sensor,ASK,,ASK,draft seed; team review pending
feedback_landing_1,Yeni projemiz için bu landing page'i hazırladım. İlk bakışta en zayıf tarafı sizce ne?,controlled_seed,feedback_landing,FEEDBACK,,FEEDBACK,draft seed; team review pending
feedback_landing_2,Ana sayfanın bu taslağını yaptım. Kullanıcı gözüyle en önce neyi değiştirirdiniz?,controlled_seed,feedback_landing,FEEDBACK,,FEEDBACK,draft seed; team review pending
feedback_pitch_1,60 saniyelik proje sunum metnim bu. Sizce problem kısmı yeterince net mi?,controlled_seed,feedback_pitch,FEEDBACK,,FEEDBACK,draft seed; team review pending
