example_id,text,source_type,source_group,label_a,label_b,final_label,notes
response_001,ESP32 kartım Wi-Fi bağlantısını birkaç dakikada bir kaybediyor. Nereden kontrol etmeye başlamalıyım?,controlled_seed,resp_ask_wifi,RESPONSE,,RESPONSE,draft seed; team review pending
response_002,Python'da bu fonksiyon bazen None döndürüyor ama nedenini bulamadım. Hangi kısmı kontrol etmeliyim?,controlled_seed,resp_ask_python,RESPONSE,,RESPONSE,draft seed; team review pending
response_003,Yanlışlıkla main branch'e commit attım. Commit'i kaybetmeden yeni bir branch'e nasıl taşıyabilirim?,controlled_seed,resp_ask_git,RESPONSE,,RESPONSE,draft seed; team review pending
response_004,"Bu olasılık sorusunda neden kombinasyon kullanıyoruz, mantığını biri açıklayabilir mi?",controlled_seed,resp_ask_math,RESPONSE,,RESPONSE,draft seed; team review pending
response_005,Çizgi izleyen robotum virajlarda sürekli taşıyor. PID ayarına hangi parametreden başlamalıyım?,controlled_seed,resp_ask_robot,RESPONSE,,RESPONSE,draft seed; team review pending
response_006,Kamerada düşük ışıkta görüntü çok gürültülü oluyor. Yazılımla azaltmak için hangi yöntemi deneyebilirim?,controlled_seed,resp_ask_camera,RESPONSE,,RESPONSE,draft seed; team review pending
response_007,Bu sorgu 200 bin satırda çok yavaşlıyor. İlk bakmam gereken index hangisi?,controlled_seed,resp_ask_sql,RESPONSE,,RESPONSE,draft seed; team review pending
response_008,Mobilde bu kartlar üst üste biniyor. Grid yapısında hatayı nasıl bulabilirim?,controlled_seed,resp_ask_css,RESPONSE,,RESPONSE,draft seed; team review pending
response_009,18650 pillerle yaptığım pakette voltaj normal ama yük altında aniden düşüyor. Sebebi ne olabilir?,controlled_seed,resp_ask_battery,RESPONSE,,RESPONSE,draft seed; team review pending
response_010,Ubuntu'da servis reboot sonrası başlamıyor ama elle başlatınca çalışıyor. systemd tarafında neyi kontrol etmeliyim?,controlled_seed,resp_ask_linux,RESPONSE,,RESPONSE,draft seed; team review pending
response_011,API isteğim tarayıcıda CORS hatası veriyor ama Postman'de çalışıyor. Bunu doğru şekilde nasıl çözebilirim?,controlled_seed,resp_ask_api,RESPONSE,,RESPONSE,draft seed; team review pending
response_012,Ultrasonik sensör suya yakınken kararsız ölçüm veriyor. Filtreleme mi yoksa montaj açısı mı daha önemli?,controlled_seed,resp_ask_sensor,RESPONSE,,RESPONSE,draft seed; team review pending
response_013,Yeni projemiz için bu landing page'i hazırladım. İlk bakışta en zayıf tarafı sizce ne?,controlled_seed,resp_feedback_landing,RESPONSE,,RESPONSE,draft seed; team review pending
response_014,60 saniyelik proje sunum metnim bu. Sizce problem kısmı yeterince net mi?,controlled_seed,resp_feedback_pitch,RESPONSE,,RESPONSE,draft seed; team review pending
response_015,NIYET için iki logo taslağı hazırladım. Hangisi daha güvenilir bir ürün hissi veriyor?,controlled_seed,resp_feedback_logo,RESPONSE,,RESPONSE,draft seed; team review pending
response_016,Bilim fuarı posteri için bu yerleşimi kullandım. Bilgi sırası anlaşılır mı?,controlled_seed,resp_feedback_poster,RESPONSE,,RESPONSE,draft seed; team review pending
response_017,CV'min proje bölümünü yeniden yazdım. Fazla uzun veya belirsiz kalan yer var mı?,controlled_seed,resp_feedback_resume,RESPONSE,,RESPONSE,draft seed; team review pending
response_018,Bildirim kartını böyle tasarladım. Accept ve Skip butonlarının yeri sizce doğru mu?,controlled_seed,resp_feedback_ui,RESPONSE,,RESPONSE,draft seed; team review pending
response_019,Teknik raporun problem bölümünü bu şekilde yazdık. Kanıt ile yorum arasındaki fark net mi?,controlled_seed,resp_feedback_report,RESPONSE,,RESPONSE,draft seed; team review pending
response_020,Demo videonun ilk 20 saniyesi böyle. Projenin ne yaptığını yeterince hızlı anlatıyor mu?,controlled_seed,resp_feedback_video,RESPONSE,,RESPONSE,draft seed; team review pending
response_021,Prototipte intent seçimini bu ekrana koyduk. Kullanıcı için gereksiz bir adım gibi geliyor mu?,controlled_seed,resp_feedback_prototype,RESPONSE,,RESPONSE,draft seed; team review pending
response_022,Sonuçları bu grafikte gösterdim. Baseline ile farkı okumak kolay mı?,controlled_seed,resp_feedback_chart,RESPONSE,,RESPONSE,draft seed; team review pending
response_023,Mentöre göndereceğim bu kısa açıklamayı yazdım. Tonu fazla resmi olmuş mu?,controlled_seed,resp_feedback_email,RESPONSE,,RESPONSE,draft seed; team review pending
response_024,Araştırma sorumuzu bu şekilde daralttık. Ölçülebilir ve test edilebilir duruyor mu?,controlled_seed,resp_feedback_research,RESPONSE,,RESPONSE,draft seed; team review pending
response_025,Hafta sonu hackathonu için backend bilen bir ekip arkadaşı arıyoruz. İlgilenen var mı?,controlled_seed,resp_collab_hackathon,RESPONSE,,RESPONSE,draft seed; team review pending
response_026,Teknofest projemizde görüntü işleme kısmını birlikte geliştirecek bir ekip arkadaşı arıyoruz.,controlled_seed,resp_collab_robotics,RESPONSE,,RESPONSE,draft seed; team review pending
response_027,Türkçe sosyal medya verisi üzerine küçük bir araştırma yapıyoruz. Veri analizi bilen biri katılmak ister mi?,controlled_seed,resp_collab_research,RESPONSE,,RESPONSE,draft seed; team review pending
response_028,Açık kaynak projemiz için UI tasarımını beraber geliştirecek bir tasarımcı arıyoruz.,controlled_seed,resp_collab_design,RESPONSE,,RESPONSE,draft seed; team review pending
response_029,SAT için haftada iki kez birlikte deneme çözecek küçük bir çalışma grubu kurmak istiyorum.,controlled_seed,resp_collab_study,RESPONSE,,RESPONSE,draft seed; team review pending
response_030,Öğrenciler için küçük bir SaaS fikrimiz var. MVP'yi birlikte çıkaracak frontend geliştirici arıyoruz.,controlled_seed,resp_collab_startup,RESPONSE,,RESPONSE,draft seed; team review pending
response_031,Okulda teknoloji etkinliği düzenliyoruz. Organizasyon ekibine iki gönüllü daha arıyoruz.,controlled_seed,resp_collab_event,RESPONSE,,RESPONSE,draft seed; team review pending
response_032,Türkçe NLP için açık kaynak veri aracı geliştiriyoruz. Katkı vermek isteyen Python geliştiricileri arıyoruz.,controlled_seed,resp_collab_open,RESPONSE,,RESPONSE,draft seed; team review pending
response_033,Kısa film projesi için müzik yapabilecek biriyle beraber çalışmak istiyoruz.,controlled_seed,resp_collab_music,RESPONSE,,RESPONSE,draft seed; team review pending
response_034,FPV drone projesinde mekanik tasarımı birlikte yapacak CAD bilen biri lazım.,controlled_seed,resp_collab_drone,RESPONSE,,RESPONSE,draft seed; team review pending
response_035,Yeni başlayanlar için haftalık yazılım buluşması başlatıyoruz. Organizasyonda beraber çalışacak kişiler arıyoruz.,controlled_seed,resp_collab_community,RESPONSE,,RESPONSE,draft seed; team review pending
response_036,Türkçe intent datasetini iki kişi bağımsız etiketleyeceğiz. İkinci annotator olarak katılmak isteyen var mı?,controlled_seed,resp_collab_dataset,RESPONSE,,RESPONSE,draft seed; team review pending
